# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.784            	-3.2581733139e-02 -5.1147219887e-02 3.1043103730e-01	(-3.4566334029e-02 -5.2877287406e-02 3.0912828168e-01)	(1.9846008898e-03 1.7300675188e-03 1.3027556216e-03)
2.785            	-3.2695761180e-02 -5.0796154845e-02 3.1014951050e-01	(-3.4678827356e-02 -5.2529161790e-02 3.0884765313e-01)	(1.9830661759e-03 1.7330069456e-03 1.3018573682e-03)
2.786            	-3.3693739069e-02 -4.9560881795e-02 3.0526144916e-01	(-3.5672642127e-02 -5.1296354267e-02 3.0396134599e-01)	(1.9789030577e-03 1.7354724719e-03 1.3001031695e-03)
2.787            	-3.2663120293e-02 -5.0627910367e-02 3.1224052274e-01	(-3.4641299993e-02 -5.2366377973e-02 3.1094108737e-01)	(1.9781797007e-03 1.7384676064e-03 1.2994353749e-03)
2.788            	-3.3493215850e-02 -5.0022339434e-02 3.0976113291e-01	(-3.5468616119e-02 -5.1762742609e-02 3.0846306801e-01)	(1.9754002688e-03 1.7404031754e-03 1.2980649050e-03)
2.789            	-3.2835326804e-02 -5.0149196366e-02 3.1336336541e-01	(-3.4810078996e-02 -5.1893147791e-02 3.1206587078e-01)	(1.9747521924e-03 1.7439514244e-03 1.2974946348e-03)
2.79             	-3.2980056732e-02 -4.9962507823e-02 3.1335946227e-01	(-3.4954087640e-02 -5.1709476263e-02 3.1206278891e-01)	(1.9740309082e-03 1.7469684396e-03 1.2966733660e-03)
2.791            	-3.3140274582e-02 -4.9714166603e-02 3.1359268934e-01	(-3.5113398052e-02 -5.1464104057e-02 3.1229688684e-01)	(1.9731234703e-03 1.7499374547e-03 1.2958024974e-03)
2.792            	-3.3228439203e-02 -4.9575731257e-02 3.1454964732e-01	(-3.5200650319e-02 -5.1328723193e-02 3.1325468959e-01)	(1.9722111154e-03 1.7529919352e-03 1.2949577280e-03)
2.793            	-3.4155982620e-02 -4.8715442828e-02 3.1135378392e-01	(-3.6124767847e-02 -5.0470917570e-02 3.1006031602e-01)	(1.9687852268e-03 1.7554747424e-03 1.2934679010e-03)
2.794            	-3.3358517123e-02 -4.9281909351e-02 3.1604045104e-01	(-3.5326569062e-02 -5.1040371994e-02 3.1474775788e-01)	(1.9680519387e-03 1.7584626429e-03 1.2926931628e-03)
2.795            	-3.3528665163e-02 -4.8990624938e-02 3.1609187819e-01	(-3.5495740467e-02 -5.0752068936e-02 3.1480005587e-01)	(1.9670753042e-03 1.7614439984e-03 1.2918223242e-03)
2.796            	-3.3850610623e-02 -4.8605695480e-02 3.1555291241e-01	(-3.5816115783e-02 -5.0369973580e-02 3.1426220035e-01)	(1.9655051607e-03 1.7642780998e-03 1.2907120639e-03)
2.797            	-3.3874517850e-02 -4.8717402534e-02 3.1757507978e-01	(-3.5838757664e-02 -5.0484479872e-02 3.1628530004e-01)	(1.9642398146e-03 1.7670773377e-03 1.2897797410e-03)
2.798            	-3.4167311144e-02 -4.8465538814e-02 3.1780044334e-01	(-3.6129668014e-02 -5.0235399207e-02 3.1651175261e-01)	(1.9623568698e-03 1.7698603931e-03 1.2886907285e-03)
2.799            	-3.4051811932e-02 -4.8237614479e-02 3.1821628515e-01	(-3.6012863559e-02 -5.0010311978e-02 3.1692867277e-01)	(1.9610516271e-03 1.7726974985e-03 1.2876123773e-03)
2.8              	-3.4571939873e-02 -4.7633288421e-02 3.1672610052e-01	(-3.6530445570e-02 -4.9408766510e-02 3.1543989050e-01)	(1.9585056967e-03 1.7754780884e-03 1.2862100164e-03)
2.801            	-3.4305712609e-02 -4.8153646707e-02 3.2026566393e-01	(-3.6262953928e-02 -4.9931587272e-02 3.1898050383e-01)	(1.9572413190e-03 1.7779405645e-03 1.2851601061e-03)
2.802            	-3.4455356897e-02 -4.7521721835e-02 3.1909877691e-01	(-3.6411079358e-02 -4.9302355913e-02 3.1781489488e-01)	(1.9557224601e-03 1.7806340781e-03 1.2838820335e-03)
2.803            	-3.4485130035e-02 -4.7518973471e-02 3.2065594397e-01	(-3.6439559680e-02 -4.9302301617e-02 3.1937322101e-01)	(1.9544296450e-03 1.7833281465e-03 1.2827229685e-03)
2.804            	-3.5036444791e-02 -4.6179023860e-02 3.1513905700e-01	(-3.6988021808e-02 -4.7964914403e-02 3.1385836426e-01)	(1.9515770174e-03 1.7858905428e-03 1.2806927393e-03)
2.805            	-3.4405111819e-02 -4.7603300599e-02 3.2453111464e-01	(-3.6356372613e-02 -4.9392033466e-02 3.2325118878e-01)	(1.9512607946e-03 1.7887328674e-03 1.2799258639e-03)
2.806            	-3.5286102634e-02 -4.6599746723e-02 3.2031638001e-01	(-3.7234646193e-02 -4.8390728122e-02 3.1903809392e-01)	(1.9485435590e-03 1.7909813999e-03 1.2782860852e-03)
